City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Saldanha,ZA,2020-02-21 19:00:10,-33.01,17.94,68.0,72,0,16.11
100,Iqaluit,CA,2020-02-21 19:00:11,63.75,-68.51,-29.0,60,20,3.36
101,Poso,ID,2020-02-21 19:00:11,-1.4,120.75,66.04,88,100,1.86
102,Padang,ID,2020-02-21 19:00:11,-0.95,100.35,70.41,82,30,6.71
103,Avarua,CK,2020-02-21 19:00:11,-21.21,-159.78,82.4,83,64,10.29
104,Port Arthur,CN,2020-02-21 19:00:11,38.8,121.27,35.6,74,18,11.18
105,Luderitz,NA,2020-02-21 19:00:12,-26.65,15.16,68.0,77,16,21.92
106,Sibu,MY,2020-02-21 19:00:12,2.3,111.82,77.0,94,75,3.36
107,Rocha,UY,2020-02-21 18:59:51,-34.48,-54.33,64.13,50,54,20.49
108,College,US,2020-02-21 18:59:56,64.86,-147.8,10.4,92,90,4.7
109,Tiarei,PF,2020-02-21 19:00:12,-17.53,-149.33,84.2,70,20,2.24
110,Cape Town,ZA,2020-02-21 19:00:03,-33.93,18.42,70.0,72,0,12.75
111,Laguna,US,2020-02-21 19:00:13,38.42,-121.42,66.99,41,1,10.29
112,Atuona,PF,2020-02-21 19:00:13,-9.8,-139.03,81.59,77,96,18.16
113,Qaanaaq,GL,2020-02-21 19:00:14,77.48,-69.36,-16.58,49,0,5.06
114,Palu,ID,2020-02-21 19:00:14,-0.89,119.87,66.22,88,100,3.06
115,Tabou,CI,2020-02-21 19:00:14,4.42,-7.35,82.83,79,100,5.12
116,Moose Factory,CA,2020-02-21 19:00:14,51.26,-80.61,35.6,47,1,21.92
117,Arraial Do Cabo,BR,2020-02-21 19:00:14,-22.97,-42.03,84.2,79,40,9.17
118,Harper,LR,2020-02-21 19:00:15,4.38,-7.72,82.83,79,100,5.12
119,Veinte De Noviembre,MX,2020-02-21 19:00:15,14.98,-92.25,89.6,55,40,11.41
120,Dingle,PH,2020-02-21 19:00:15,11.0,122.67,70.92,93,84,11.18
121,Bamako,ML,2020-02-21 18:55:36,12.65,-8.0,95.0,9,70,4.7
